state,cx,cy,x,y,w,h,tails,is_stemmed,is_filled,is_sharped,is_flatted,is_naturaled,is_dotted,staff_pitch,pitch,total_pixel,label,duration,beat,sample_rate
1,1938,2034,1913,2014,50,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10176.0,G,1.0,24.375,74167
1,2099,2404,2075,2383,50,44,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-4.0,-7.0,10337.0,F,2.0,24.5,33037
1,2099,2109,2075,2088,50,45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10337.0,C,2.0,24.5,49500
1,2100,2016,2075,1994,50,46,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,10338.0,A,2.0,24.5,83249
1,2157,2404,2133,2384,50,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,10395.0,F,1.0,24.625,33037
1,2502,2460,2478,2439,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,-12.0,10740.0,C,0.5,25.0,24750
1,2502,2385,2478,2364,50,45,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-3.0,-5.0,10740.0,G,1.5,25.0,37083
1,2502,2072,2478,2052,50,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10740.0,E,0.5,25.0,62366
1,2502,1978,2478,1957,50,45,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,12.0,10740.0,C,1.5,25.0,99001
1,2668,2441,2644,2421,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.0,-10.0,10906.0,D,1.0,25.375,27781
1,2668,2053,2644,2032,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10906.0,F,1.0,25.375,66075
1,2756,2423,2732,2402,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,-8.0,10994.0,E,0.5,25.5,31183
1,2755,2034,2731,2014,51,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10993.0,G,0.5,25.5,74167
1,2853,2460,2829,2439,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,-12.0,11091.0,C,0.5,25.625,24750
1,2854,2385,2829,2364,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,11092.0,G,0.5,25.625,37083
1,2853,2072,2828,2052,51,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,11091.0,E,0.5,25.625,62366
1,2854,1978,2829,1957,50,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,11092.0,C,0.5,25.625,99001
1,3017,2404,2994,2386,47,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,11255.0,F,0.5,26.0,33037
1,3018,2366,2994,2347,47,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,11256.0,A,0.5,26.0,41624
1,3017,2053,2993,2032,50,45,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,11255.0,F,1.5,26.0,66075
1,3018,1978,2993,1957,50,45,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,12.0,11256.0,C,1.5,26.0,99001
1,3151,2386,3128,2368,47,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,11389.0,G,1.0,26.125,37083
1,3152,2349,3128,2329,47,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,11390.0,Bb,1.0,26.125,44100
1,3239,2366,3216,2348,47,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,11477.0,A,0.5,26.375,41624
1,3239,2329,3215,2310,48,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11477.0,C,0.5,26.375,49500
1,3333,2349,3311,2331,47,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,11571.0,Bb,0.5,26.5,44100
1,3335,2312,3311,2291,47,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11573.0,D,0.5,26.5,55562
1,3334,2034,3311,2016,47,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11572.0,G,0.5,26.5,74167
1,3335,1996,3311,1978,47,37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,11573.0,Bb,0.5,26.5,88200
1,3573,2329,3548,2309,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11811.0,C,1.0,26.875,49500
1,3572,2053,3550,2034,47,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,11810.0,F,1.0,26.875,66075
1,3574,2015,3550,1996,47,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,11812.0,A,1.0,26.875,83249
1,3734,2460,3710,2439,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,-12.0,11972.0,C,1.0,27.0,24750
1,3734,2329,3709,2309,51,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11972.0,C,0.5,27.0,49500
1,3734,2072,3711,2054,47,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,11972.0,E,1.0,27.0,62366
1,3735,2034,3711,2015,47,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11973.0,G,1.0,27.0,74167
1,3824,2349,3800,2328,50,44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,12062.0,Bb,0.5,27.125,44100
1,3920,2404,3897,2386,47,39,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-4.0,-7.0,12158.0,F,2.0,27.5,33037
1,3921,2366,3897,2346,47,39,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.0,-3.0,12159.0,A,2.0,27.5,41624
1,3920,2053,3896,2032,50,45,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,12158.0,F,2.0,27.5,66075
